====== SECTION 1 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
ef     , mf , 0      , nat.  , F     , 7       , 2
b +1/4 , mp , 4      , nat.  , F     , 7       , 2
ef     , mp , 1      , circ. , F     , 7       , 2
df -1/6, mp , 2      , circ. , F     , 7       , 2
e      , mp , 4      , nat.  , F     , 7       , 2
e      , mf , 3      , circ. , pizz  , 6       , 2
ef     , mf , 3      , circ. , pizz  , 7       , 2
====== SECTION 24 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
d      , mp , 4      , circ. , F     , 7       , 2
a      , mf , 3      , nat.  , F     , 7       , 2
e      , f  , 0      , nat.  , pizz  , 6       , 2
fs -1/8, mf , 2      , circ. , pizz  , 6       , 2
fs -1/8, mf , 2      , circ. , pizz  , 7       , 2
fs -1/8, mp , 1      , circ. , F     , 7       , 2
a      , mf , 1      , nat.  , F     , 7       , 2
a      , f  , 4      , nat.  , clb   , 7       , 2
d      , mf , 2      , circ. , F     , 7       , 2
c -1/6 , mp , 0      , circ. , F     , 7       , 2
d      , mp , 3      , nat.  , F:M   , 8       , 2
a      , mp , 3      , circ. , F     , 7       , 2
fs -1/8, p  , 4      , nat.  , F:M   , 7       , 2
d      , mp , 1      , nat.  , F     , 7       , 2
c -1/6 , mf , 2      , nat.  , F     , 6       , 2
c -1/6 , mp , 4      , circ. , F     , 7       , 2
====== SECTION 25 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
a      , mp , 4      , nat.  , F     , 7       , 2
c -1/6 , mf , 3      , nat.  , F     , 7       , 2
gs -1/4, mf , 2      , circ. , pizz  , 6       , 2
fs -1/8, mf , 0      , circ. , pizz  , 6       , 2
fs -1/8, mf , 0      , circ. , pizz  , 6       , 2
gs -1/4, mp , 1      , circ. , F     , 7       , 2
fs -1/8, mf , 0      , nat.  , F     , 7       , 2
e      , f  , 2      , nat.  , clb   , 7       , 2
e      , mf , 4      , nat.  , F     , 8       , 2
c -1/6 , mp , 1      , circ. , F     , 7       , 2
a      , mf , 3      , nat.  , F     , 8       , 2
cs     , mf , 0      , circ. , pizz  , 7       , 2
d      , mp , 4      , nat.  , F     , 7       , 2
c -1/6 , mp , 0      , nat.  , F     , 7       , 2
fs -1/8, mp , 3      , circ. , F     , 7       , 2
====== SECTION 26 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
d      , mp , 4      , nat.  , F     , 7       , 2
d      , mf , 4      , nat.  , F     , 7       , 2
d      , f  , 4      , circ. , pizz  , 6       , 2
a      , mf , 4      , circ. , pizz  , 6       , 2
a      , mf , 0      , circ. , pizz  , 6       , 2
fs -1/8, mf , 0      , nat.  , F     , 7       , 2
fs -1/8, mp , 0      , circ. , F     , 7       , 2
d      , f  , 3      , circ. , pizz  , 7       , 2
c -1/6 , ff , 2      , *     , *     , 7       , 0
e      , mp , 3      , circ. , F     , 7       , 2
e      , mf , 1      , nat.  , F     , 7       , 2
as +1/4, mp , 2      , circ. , F     , 7       , 2
fs -1/8, mp , 3      , circ. , F     , 7       , 2
fs -1/8, mp , 3      , circ. , F     , 7       , 2
====== SECTION 27 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
d      , mf , 4      , nat.  , F     , 7       , 2
c -1/6 , mf , 3      , nat.  , F     , 7       , 2
as +1/4, mf , 0      , circ. , pizz  , 6       , 2
e      , mf , 4      , circ. , pizz  , 6       , 2
as +1/4, mf , 2      , circ. , pizz  , 6       , 2
d      , mf , 0      , circ. , pizz  , 7       , 2
d      , mp , 0      , nat.  , F:M   , 7       , 2
fs -1/8, mf , 4      , nat.  , F     , 7       , 2
fs -1/8, f  , 1      , nat.  , clb   , 7       , 2
e      , mf , 2      , nat.  , F     , 7       , 2
fs -1/8, mf , 3      , circ. , F     , 7       , 2
a      , mf , 4      , circ. , F     , 8       , 2
fs -1/8, mf , 0      , nat.  , F     , 7       , 2
====== SECTION 28 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c -1/6 , mf , 4      , nat.  , F     , 7       , 2
e      , mf , 3      , nat.  , F     , 7       , 2
c -1/6 , mp , 2      , nat.  , F     , 6       , 2
a      , mf , 3      , nat.  , F     , 6       , 2
a      , mf , 4      , nat.  , F     , 7       , 2
fs -1/8, mf , 4      , circ. , pizz  , 7       , 2
a      , mp , 0      , circ. , F     , 7       , 2
fs -1/8, mf , 3      , nat.  , F     , 7       , 2
d      , f  , 2      , circ. , clb   , 7       , 2
fs -1/8, f  , 3      , nat.  , F     , 8       , 2
d      , mp , 0      , circ. , F     , 7       , 2
c -1/6 , mf , 1      , nat.  , F     , 7       , 2
====== SECTION 29 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
fs -1/8, mf , 0      , nat.  , F     , 7       , 2
e      , mf , 3      , nat.  , F     , 7       , 2
d      , mp , 3      , circ. , F     , 7       , 2
fs -1/8, mf , 2      , circ. , pizz  , 6       , 2
e      , mf , 1      , circ. , pizz  , 6       , 2
fs -1/8, f  , 2      , circ. , pizz  , 6       , 2
a      , mf , 0      , nat.  , F     , 7       , 2
a      , mf , 1      , circ. , F     , 7       , 2
d      , f  , 2      , nat.  , pizz  , 7       , 2
fs -1/8, ff , 2      , *     , *     , 7       , 0
d      , mf , 0      , circ. , F     , 7       , 2
====== SECTION 30 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c -1/6 , mf , 0      , nat.  , F     , 7       , 2
a      , mf , 3      , nat.  , F     , 7       , 2
a      , mp , 3      , circ. , F     , 7       , 2
d      , mf , 1      , nat.  , pizz  , 5       , 2
fs -1/8, mf , 3      , circ. , pizz  , 6       , 2
a      , f  , 4      , circ. , pizz  , 6       , 2
fs -1/8, mf , 0      , nat.  , F     , 7       , 2
d      , mp , 0      , circ. , F     , 7       , 2
a      , mf , 3      , circ. , pizz  , 7       , 2
d      , mf , 1      , circ. , clt   , 7       , 2
a      , mf , 3      , circ. , F     , 8       , 2
d      , mp , 1      , nat.  , F:M   , 7       , 2
====== SECTION 31 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
d      , mf , 0      , nat.  , F     , 7       , 2
e      , mf , 3      , nat.  , F     , 7       , 2
d      , mp , 3      , circ. , F     , 7       , 2
fs -1/8, f  , 1      , nat.  , pizz  , 5       , 2
a      , f  , 0      , circ. , pizz  , 6       , 2
d      , f  , 4      , circ. , pizz  , 6       , 2
d      , mf , 0      , nat.  , F     , 7       , 2
c -1/6 , mp , 1      , nat.  , F:M   , 7       , 2
e      , mf , 0      , nat.  , F     , 7       , 2
d      , f  , 4      , circ. , clt   , 7       , 2
d      , mf , 0      , circ. , F     , 8       , 2
====== SECTION 32 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
df -1/6, mf , 0      , nat.  , F     , 7       , 2
g -1/8 , mf , 2      , nat.  , F     , 6       , 2
g -1/8 , mp , 3      , nat.  , F:M   , 7       , 2
ef     , f  , 1      , nat.  , pizz  , 5       , 2
bf     , f  , 3      , circ. , pizz  , 6       , 2
bf     , mf , 1      , circ. , pizz  , 6       , 2
bf     , mf , 2      , circ. , pizz  , 7       , 2
f      , mp , 4      , nat.  , F:M   , 7       , 2
bf     , mf , 3      , nat.  , F     , 7       , 2
ef     , f  , 2      , nat.  , pizz  , 7       , 2
====== SECTION 33 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
ef     , mf , 0      , nat.  , F     , 7       , 2
ef     , mf , 2      , nat.  , F     , 6       , 2
f      , mp , 3      , nat.  , F:M   , 7       , 2
ef     , f  , 1      , nat.  , pizz  , 5       , 2
bf     , mf , 3      , circ. , pizz  , 6       , 2
ef     , mf , 0      , nat.  , F     , 7       , 2
ef     , f  , 0      , circ. , pizz  , 7       , 2
ef     , mf , 4      , circ. , F     , 7       , 2
ef     , mf , 2      , circ. , F     , 7       , 2
====== SECTION 34 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
df -1/6, mf , 0      , nat.  , F     , 7       , 2
f      , mf , 1      , nat.  , F     , 6       , 2
df -1/6, mp , 3      , nat.  , F:M   , 7       , 2
f      , f  , 2      , circ. , clb   , 6       , 2
g -1/8 , mf , 4      , nat.  , F     , 6       , 2
df -1/6, mf , 1      , nat.  , F     , 7       , 2
ef     , f  , 1      , circ. , pizz  , 6       , 2
bf     , mf , 4      , nat.  , F     , 7       , 2
bf     , mf , 1      , nat.  , F     , 7       , 2
ef     , mf , 2      , nat.  , F     , 6       , 2
====== SECTION 35 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
ef     , mf , 0      , nat.  , F     , 7       , 2
f      , mp , 1      , circ. , F     , 6       , 2
ef     , mp , 3      , nat.  , F:M   , 7       , 2
df -1/6, f  , 1      , nat.  , pizz  , 6       , 2
bf     , mf , 4      , nat.  , F     , 6       , 2
ef     , mf , 2      , circ. , pizz  , 7       , 2
ef     , mf , 4      , circ. , pizz  , 6       , 2
bf     , mf , 0      , nat.  , F     , 7       , 2
ef     , mp , 1      , nat.  , F:M   , 7       , 2
====== SECTION 36 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
ef     , mf , 0      , nat.  , F     , 7       , 2
ef     , mp , 0      , nat.  , F     , 6       , 2
bf     , mp , 3      , nat.  , F:M   , 7       , 2
ef     , f  , 3      , nat.  , pizz  , 6       , 2
ef     , mf , 3      , nat.  , F     , 6       , 2
bf     , mf , 0      , circ. , pizz  , 6       , 2
ef     , f  , 2      , circ. , pizz  , 6       , 2
ef     , mf , 1      , circ. , pizz  , 7       , 2
====== SECTION 37 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
bf     , mf , 0      , nat.  , F     , 7       , 2
df -1/6, mp , 0      , circ. , F     , 6       , 2
ef     , mp , 3      , nat.  , F:M   , 7       , 2
ef     , f  , 0      , circ. , pizz  , 6       , 2
ef     , mf , 3      , circ. , pizz  , 6       , 2
ef     , mf , 2      , circ. , pizz  , 6       , 2
g -1/8 , f  , 3      , nat.  , pizz  , 6       , 2
====== SECTION 38 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
ef     , mf , 4      , nat.  , F     , 7       , 2
bf     , mp , 4      , circ. , F     , 6       , 2
ef     , mp , 3      , circ. , F     , 7       , 2
g -1/8 , mf , 2      , circ. , pizz  , 7       , 2
ef     , mf , 2      , circ. , pizz  , 5       , 2
bf     , f  , 3      , circ. , pizz  , 6       , 2
ef     , mf , 4      , nat.  , F     , 7       , 2
ef     , f  , 0      , circ. , pizz  , 7       , 2
====== SECTION 39 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c -1/6 , mf , 4      , nat.  , F     , 7       , 2
d      , mp , 4      , circ. , F     , 6       , 2
fs -1/8, mp , 3      , circ. , F     , 7       , 2
d      , mf , 3      , circ. , pizz  , 7       , 2
d      , mf , 1      , circ. , pizz  , 5       , 2
d      , f  , 3      , circ. , pizz  , 6       , 2
d      , mf , 4      , nat.  , F     , 7       , 2
====== SECTION 40 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
cs     , mf , 4      , nat.  , F     , 7       , 2
gs     , mp , 4      , circ. , F     , 6       , 2
f -1/8 , mf , 3      , nat.  , F     , 7       , 2
cs     , mf , 4      , nat.  , F     , 7       , 2
gs     , mf , 0      , nat.  , pizz  , 5       , 2
gs     , f  , 2      , circ. , pizz  , 6       , 2
====== SECTION 41 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 4      , circ. , pizz  , 7       , 2
c      , mp , 4      , circ. , F     , 6       , 2
c      , mf , 4      , circ. , pizz  , 7       , 2
c      , mf , 4      , circ. , F     , 7       , 2
c      , f  , 0      , nat.  , pizz  , 5       , 2
====== SECTION 42 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
g      , mf , 4      , circ. , pizz  , 7       , 2
g      , mp , 4      , circ. , F     , 6       , 2
c      , mf , 3      , circ. , pizz  , 7       , 2
c      , mp , 4      , circ. , F     , 7       , 2
c      , f  , 1      , nat.  , pizz  , 5       , 2
c      , mf , 3      , nat.  , F     , 6       , 2
====== SECTION 43 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 4      , nat.  , F     , 7       , 2
c      , mp , 4      , circ. , F     , 6       , 2
e -1/8 , mf , 4      , circ. , pizz  , 7       , 2
c      , mp , 3      , nat.  , F:M   , 7       , 2
g      , f  , 1      , circ. , clb   , 5       , 2
====== SECTION 44 ======
